"Ferromatik Milacron K 155",1,"Screw cap  1,3g","SW2669",1,1,1,1
"Demag Systec 210",2,"CSC base (CSC-F TL Base)","T2147 (3019)",2,2,2,2
"Ferromatik Milacron K 155",3,"CSC cap","T2146 (2953)",4,3,3,3
"Ferromatik Milacron K-TEC 320 S",4,"CSC cap 2.0",2868.1,6,4,4,4
"Engel ES 300 HL",5,"CSC Base NEW (CSC-F TL Base)","T2747",8,5,5,5
"Demag El-Exis 420",6,"Twist cap","T2743",12,6,,6
"Demag El-Exis 450",7,"Circle cap Cap 1 SET","SW2857",16,7,,7
"Ferromatik Milacron K 250   ",8,"Circle cap Base","SW 2652",24,8,,8
"Demag Systec 500       ",9,"lux","2855",32,9,,9
"Ferromatik Milacron K-TEC 320 S",10," cap","31837ABC",48,10,,10
"JSW J450 ADS",11," Spout","2999.1",72,11,,11
"Demag Systec 500",12," 400 ml New","2998.1",,12,,12
"Demag Systec 350          ",13,"Color cap 1,4g","18-115M",,13,,13
"Demag Systec 350          ",14,"Black card 100 (P&S 100gr)","SW2738",,14,,14
"Demag D 350         ",15,"Black card 50 (P&S 50gr)","T2037",,15,,15
"Demag D 200",16,"Black card 200 (P&S 200gr)",18270,,16,,16
"Demag D 200",17,"Sirius (Blue water)","31467 L",,17,,17
"Demag D 200",18,"Sirius (standard)","31292G",,18,,18
"Demag D 210",19,,,,19,,19
"Ferromatik Milacron K 40",20,,,,20,,20
"Demag D 500          ",21,,,,21,,21
"Demag D 500          ",22,,,,22,,22
"Demag El-Exis 450",23,,,,23,,23
"Demag El-Exis 450",24,,,,24,,24
